1  1  1
1  2  4
1  3  1
1  4  1
1  5  2
1  12  6
3  1  10
3  3  1
4  1  3
4  4  1
5  5  4
6  15  1
6  26  1
6  27  1
6  28  1
6  30  1
6  34  1
6  37  1
6  39  1
6  50  2
6  54  1
7  1  1
7  7  1
7  8  1
7  11  1
7  17  1
7  101  1
7  108  1
7  114  1
8  15  1
8  26  1
8  27  1
8  28  2
8  30  1
8  34  1
8  37  1
8  50  2
8  53  3
8  54  1
10  10  1
10  11  3
11  9  2
11  10  1
11  12  2
11  13  1
11  14  1
11  28  1
11  38  1
13  11  10
13  13  1
14  14  3
15  15  1
15  55  2
16  16  1
16  17  2
17  12  1
17  15  1
17  16  1
17  17  2
17  18  1
17  19  1
17  20  1
18  18  1
19  19  3
20  17  8
20  20  1
21  21  1
22  22  1
23  23  1
24  24  1
25  25  1
28  28  1
29  29  1
30  30  1
31  31  1
32  32  1
33  33  1
34  34  1
35  28  1
35  30  1
35  34  1
35  35  2
35  50  1
35  52  2
35  53  1
35  54  1
36  36  1
37  37  1
38  38  1
39  39  1
40  40  1
42  42  1
43  43  1
44  44  1
45  45  1
46  46  1
47  41  1
48  48  1
49  49  1
50  50  1
51  51  2
52  52  1
53  53  1
54  30  1
56  41  1
56  56  1
57  57  1
58  58  1
59  59  1
59  64  1
60  60  1
61  61  1
62  62  1
63  63  1
65  12  1
65  23  1
65  65  1
65  66  1
66  66  4
67  67  1
68  68  1
69  69  1
70  70  1
71  71  1
72  72  1
73  73  1
74  74  1
75  75  1
76  76  1
77  12  2
77  23  1
77  66  1
77  77  1
78  78  1
79  79  1
80  80  1
81  81  1
82  82  1
83  83  1
84  84  1
86  86  1
87  87  1
88  88  1
91  85  1
91  89  1
92  85  1
92  90  1
93  93  1
94  94  2
95  95  2
96  95  1
96  96  1
97  97  1
99  99  1
101  12  1
101  28  1
101  30  1
101  33  1
101  38  1
101  99  2
101  101  1
101  102  1
101  103  1
101  104  1
101  105  1
101  106  2
102  101  2
102  102  1
103  30  1
103  33  1
103  101  12
103  103  1
104  104  1
105  100  2
106  100  4
106  106  3
107  107  1
108  12  3
108  28  1
108  30  1
108  33  1
108  38  1
108  46  1
108  107  3
108  108  1
108  109  1
108  110  2
108  111  1
108  112  3
108  113  1
109  108  2
109  109  2
110  30  1
110  33  1
110  108  18
110  110  1
111  111  1
112  100  4
112  112  3
113  100  2
114  114  1
114  115  1
114  116  1
115  114  12
115  115  1
116  114  3
116  116  1
117  1  2
117  11  2
117  17  2
117  101  2
117  114  2
117  117  1
117  118  1
118  51  1
119  76  2
121  28  1
121  34  1
121  50  1
121  51  1
121  79  1
121  80  1
121  83  1
122  15  1
123  37  1
123  38  1
123  75  1
124  1  1
124  127  1
124  141  1
125  132  5
126  131  1
127  126  2
127  127  1
127  132  5
129  30  1
131  131  1
133  132  1
133  133  1
134  129  1
135  135  1
139  23  1
139  51  10
139  61  4
139  141  2
141  23  1
141  51  1
141  73  1
141  141  1
141  142  1
141  143  1
141  144  1
142  142  1
144  144  2
